,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore,url
3621,200484061,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060118_132_15_1,faedrelandsvennen,Kristiansand,20060118,2006,digavis,biblioteket,1,2,1,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060118_132_15_1?searchText=biblioteket
3622,200484062,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060119_132_16_1,faedrelandsvennen,Kristiansand,20060119,2006,digavis,biblioteket,3,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060119_132_16_1?searchText=biblioteket
3623,200484062,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060119_132_16_1,faedrelandsvennen,Kristiansand,20060119,2006,digavis,biblioteket,3,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060119_132_16_1?searchText=biblioteket
3624,200484062,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060119_132_16_1,faedrelandsvennen,Kristiansand,20060119,2006,digavis,biblioteket,3,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060119_132_16_1?searchText=biblioteket
3625,200484065,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060123_132_19_1,faedrelandsvennen,Kristiansand,20060123,2006,digavis,biblioteket,1,3,2,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060123_132_19_1?searchText=biblioteket
3626,200484065,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060123_132_19_1,faedrelandsvennen,Kristiansand,20060123,2006,digavis,biblioteket,1,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060123_132_19_1?searchText=biblioteket
3627,200484069,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060127_132_23_1,faedrelandsvennen,Kristiansand,20060127,2006,digavis,biblioteket,1,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060127_132_23_1?searchText=biblioteket
3628,200484069,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060127_132_23_1,faedrelandsvennen,Kristiansand,20060127,2006,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060127_132_23_1?searchText=biblioteket
3629,200484073,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060201_132_27_1,faedrelandsvennen,Kristiansand,20060201,2006,digavis,biblioteket,2,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060201_132_27_1?searchText=biblioteket
3630,200484073,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060201_132_27_1,faedrelandsvennen,Kristiansand,20060201,2006,digavis,biblioteket,2,3,2,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060201_132_27_1?searchText=biblioteket
3631,200484073,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060201_132_27_1,faedrelandsvennen,Kristiansand,20060201,2006,digavis,biblioteket,2,3,2,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060201_132_27_1?searchText=biblioteket
3632,200484079,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060208_132_33_1,faedrelandsvennen,Kristiansand,20060208,2006,digavis,biblioteket,1,0,2,-2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060208_132_33_1?searchText=biblioteket
