,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore
55,200272104,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091216_11_47_1,budstikkasoegne,Kristiansand,20091216,2009,digavis,biblioteket,8,13,5,8
56,200272108,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100120_12_3_1,budstikkasoegne,Kristiansand,20100120,2010,digavis,biblioteket,1,3,0,3
57,200272109,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100127_12_4_1,budstikkasoegne,Kristiansand,20100127,2010,digavis,biblioteket,4,11,4,7
58,200272110,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100203_12_5_1,budstikkasoegne,Kristiansand,20100203,2010,digavis,biblioteket,1,1,2,-1
59,200272111,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100210_12_6_1,budstikkasoegne,Kristiansand,20100210,2010,digavis,biblioteket,1,3,1,2
60,200272112,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100217_12_7_1,budstikkasoegne,Kristiansand,20100217,2010,digavis,biblioteket,1,0,0,0
61,200272113,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100224_12_8_1,budstikkasoegne,Kristiansand,20100224,2010,digavis,biblioteket,4,6,4,2
62,200272114,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100303_12_9_1,budstikkasoegne,Kristiansand,20100303,2010,digavis,biblioteket,1,0,0,0
63,200272115,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100310_12_10_1,budstikkasoegne,Kristiansand,20100310,2010,digavis,biblioteket,2,0,3,-3
64,200272116,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100317_12_11_1,budstikkasoegne,Kristiansand,20100317,2010,digavis,biblioteket,1,0,0,0
65,200272117,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100324_12_12_1,budstikkasoegne,Kristiansand,20100324,2010,digavis,biblioteket,1,0,0,0
66,200272118,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100407_12_13_1,budstikkasoegne,Kristiansand,20100407,2010,digavis,biblioteket,1,0,0,0
67,200272119,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100414_12_14_1,budstikkasoegne,Kristiansand,20100414,2010,digavis,biblioteket,1,0,0,0
68,200272120,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100421_12_15_1,budstikkasoegne,Kristiansand,20100421,2010,digavis,biblioteket,1,0,0,0
69,200272121,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100428_12_16_1,budstikkasoegne,Kristiansand,20100428,2010,digavis,biblioteket,4,1,4,-3
70,200272122,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100505_12_17_1,budstikkasoegne,Kristiansand,20100505,2010,digavis,biblioteket,1,0,0,0
71,200272124,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100519_12_19_1,budstikkasoegne,Kristiansand,20100519,2010,digavis,biblioteket,1,0,0,0
72,200272127,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100609_12_22_1,budstikkasoegne,Kristiansand,20100609,2010,digavis,biblioteket,1,0,0,0
73,200272128,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100616_12_23_1,budstikkasoegne,Kristiansand,20100616,2010,digavis,biblioteket,4,6,1,5
74,200272129,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100623_12_24_1,budstikkasoegne,Kristiansand,20100623,2010,digavis,biblioteket,8,10,7,3
75,200272130,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100630_12_25_1,budstikkasoegne,Kristiansand,20100630,2010,digavis,biblioteket,1,1,0,1
76,200272131,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100707_12_27_1,budstikkasoegne,Kristiansand,20100707,2010,digavis,biblioteket,1,1,0,1
77,200272132,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100714_12_28_1,budstikkasoegne,Kristiansand,20100714,2010,digavis,biblioteket,1,1,0,1
78,200272133,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100721_12_29_1,budstikkasoegne,Kristiansand,20100721,2010,digavis,biblioteket,1,1,0,1
79,200272134,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100728_12_30_1,budstikkasoegne,Kristiansand,20100728,2010,digavis,biblioteket,2,3,0,3
80,200272135,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100804_12_31_1,budstikkasoegne,Kristiansand,20100804,2010,digavis,biblioteket,2,0,1,-1
81,200272136,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100811_12_32_1,budstikkasoegne,Kristiansand,20100811,2010,digavis,biblioteket,2,1,0,1
82,200272137,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100818_12_33_1,budstikkasoegne,Kristiansand,20100818,2010,digavis,biblioteket,2,0,0,0
83,200272138,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100825_12_34_1,budstikkasoegne,Kristiansand,20100825,2010,digavis,biblioteket,1,0,0,0
84,200272139,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100901_12_35_1,budstikkasoegne,Kristiansand,20100901,2010,digavis,biblioteket,1,0,0,0
85,200272140,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100908_12_36_1,budstikkasoegne,Kristiansand,20100908,2010,digavis,biblioteket,1,0,1,-1
86,200272141,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100915_12_37_1,budstikkasoegne,Kristiansand,20100915,2010,digavis,biblioteket,1,1,0,1
87,200272142,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100922_12_38_1,budstikkasoegne,Kristiansand,20100922,2010,digavis,biblioteket,1,0,0,0
88,200272143,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100929_12_39_1,budstikkasoegne,Kristiansand,20100929,2010,digavis,biblioteket,1,0,0,0
89,200272144,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101006_12_40_1,budstikkasoegne,Kristiansand,20101006,2010,digavis,biblioteket,3,0,0,0
90,200272146,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101020_12_42_1,budstikkasoegne,Kristiansand,20101020,2010,digavis,biblioteket,2,2,0,2
91,200272148,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101103_12_44_1,budstikkasoegne,Kristiansand,20101103,2010,digavis,biblioteket,1,0,1,-1
92,200272149,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101110_12_45_1,budstikkasoegne,Kristiansand,20101110,2010,digavis,biblioteket,3,4,4,0
93,200272150,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101117_12_46_1,budstikkasoegne,Kristiansand,20101117,2010,digavis,biblioteket,6,10,7,3
94,200272151,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101124_12_47_1,budstikkasoegne,Kristiansand,20101124,2010,digavis,biblioteket,12,19,12,7
95,200272152,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101201_12_48_1,budstikkasoegne,Kristiansand,20101201,2010,digavis,biblioteket,3,1,1,0
96,200272153,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101208_12_50_1,budstikkasoegne,Kristiansand,20101208,2010,digavis,biblioteket,5,1,4,-3
97,200272154,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101215_12_51_1,budstikkasoegne,Kristiansand,20101215,2010,digavis,biblioteket,2,1,0,1
98,200272155,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101222_12_52_1,budstikkasoegne,Kristiansand,20101222,2010,digavis,biblioteket,2,0,2,-2
99,200272156,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110105_13_1_1,budstikkasoegne,Kristiansand,20110105,2011,digavis,biblioteket,4,7,2,5
100,200272158,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110119_13_3_1,budstikkasoegne,Kristiansand,20110119,2011,digavis,biblioteket,4,10,5,5
101,200272160,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110202_13_5_1,budstikkasoegne,Kristiansand,20110202,2011,digavis,biblioteket,1,2,0,2
102,200272161,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110209_13_6_1,budstikkasoegne,Kristiansand,20110209,2011,digavis,biblioteket,1,0,0,0
103,200272163,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110223_13_8_1,budstikkasoegne,Kristiansand,20110223,2011,digavis,biblioteket,1,0,0,0
104,200272178,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110615_13_23_1,budstikkasoegne,Kristiansand,20110615,2011,digavis,biblioteket,2,0,0,0
105,200272179,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110622_13_24_1,budstikkasoegne,Kristiansand,20110622,2011,digavis,biblioteket,1,1,1,0
106,200272180,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110629_13_25_1,budstikkasoegne,Kristiansand,20110629,2011,digavis,biblioteket,2,3,0,3
107,200272185,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110803_13_31_1,budstikkasoegne,Kristiansand,20110803,2011,digavis,biblioteket,1,1,2,-1
108,200272186,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110810_13_32_1,budstikkasoegne,Kristiansand,20110810,2011,digavis,biblioteket,20,23,8,15
109,200272187,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110817_13_33_1,budstikkasoegne,Kristiansand,20110817,2011,digavis,biblioteket,19,16,22,-6
